0,1,2,3,4,5
Net periodic pension cost (income),"Year ended December 31, 2023",,,,
,Total,Canada,Brazil,Europe,Others
Current service cost,74,"14
:selected:","—
:unselected:",48,12
Past service cost - Plan amendments,9,"—
:unselected:","—
:unselected:",3,6
Past service cost - Curtailments,(6),"—
:unselected:","—
:unselected:",(6),—
Net interest cost (income) on net DB liability (asset),82,"—
:unselected:",4,44,34
Total,159,14,4,89,52
