0,1,2,3
in millions of USD,2023,2022,2021
Electricity for production,"3,129","4,360","3,289"
Natural and other gases,"1,887","3,326","2,242"
Other energy and utilities,"1,799","1,902","1,323"
Total,"6,815","9,588","6,854"
