0,1,2,3
,"December 31, 2022",,
,Canada,Brazil,Europe
Equity Securities,36 %,6 %,1 %
"- Asset classes that have a quoted market price in an active market
:unselected:",27 %,4 %,1 %
"- Asset classes that do not have a quoted market price in an active market
:unselected:",9 %,2 %,—
Fixed Income Securities (including cash),43 %,77 %,69 %
- Asset classes that have a quoted market price in an active market,42 %,77 %,55 %
- Asset classes that do not have a quoted market price in an active market,1 %,—,14 %
Real Estate,10 %,1 %,—
"- Asset classes that have a quoted market price in an active market
:unselected:",—,—,—
"- Asset classes that do not have a quoted market price in an active market
:unselected:",10 %,1 %,—
Other,11 %,16 %,30 %
- Asset classes that have a quoted market price in an active market,—,16 %,7 % '
- Asset classes that do not have a quoted market price in an active market,11 %,—,23 % 1
Total,100 %,100 %,100 %
