0,1,2,3,4,5,6
"December 31, 2022",,,,,,
Hedging Instruments,"Cash flow hedge reserve at December 31, 2021",Hedging gains or losses of the reporting period that were recognized in OCI,Gains or losses reclassification adjustment and hedge ineffectiveness,Basis adjustment,Line item in the statement of comprehensive income that includes the reclassification adjustment and hedge ineffectiveness,"Cash flow hedge reserve1 at December 31, 2022"
Cash flow hedges,,,,,,
Foreign exchange risk - Option/ Forward contracts,(1),146,4,(136),Sales,13
Price risk - Commodities forwards1,302,951,(153),(80),"Sales, Cost of sales","1,020"
Price risk - Emission rights forwards,"1,786",120,(104),(953),Cost of sales,849
Total,"2,087","1,217",(253),"(1,169)",,"1,882"
