0,1,2,3,4,5,6,7
"Year ended December 31, 2023",NAFTA,Brazil,Europe,ACIS,Mining,Others,Total
Steel sales,"11,830","10,393","33,569","4,234",—,—,"60,026"
Non-steel sales 1,541,160,"1,585",424,"1,140","—
:unselected:","3,850"
By-product sales 2,94,174,"1,305",168,—,"—
:unselected:","1,741"
Other sales 3,391,458,"1,460",298,31,20,"2,658"
Total,"12,856","11,185","37,919","5,124","1,171",20,"68,275"
