0,1,2,3,4,5,6,7
"As of December 31, 2022",Total,EUR,USD,ARS,BRL,INR,Other
Short-term debt and current portion of long-term debt,"2,583","2,059",227,"—
:unselected:",28,2,267
"Long-term debt, net of current portion","9,067","3,777","4,868","—
:unselected:",74,—,348
"Cash and cash equivalents, restricted cash and other restricted funds","(9,414)","(6,514)","(1,494)",(364),(275),(85),(682)
Net debt,"2,236",(678),"3,601",(364),(173),(83),(67)
