0,1,2,3,4,5,6
Cash-Generating Unit,Region,Operating Segment,Impairment Reversed,2021 Pre-Tax Discount Rate,2020 Pre-Tax Discount Rate,"Carrying amount of property, plant and equipment as of December 31, 2021"
Europe flat products,Europe,Europe,218,8.5 %,8.5 %,"11,005"
