0,1,2,3,4,5,6
,Note,,,"For the year ended December 31,",,
Iron ore production (million metric tonnes),1 Type,,Product,2023,2022,2021
AMMC,,Open pit,"Concentrate, lump, fines and pellets",22.4,24.2,22.0
AML,,Open pit / Underground,Fines,3.6,4.4,4.2
Total iron ore production,,,,26.0,28.6,26.2
