0,1,2,3,4,5,6,7
Cash Generating Unit,Region,"Operating
Segment","Amount (Value
Recoverable in Use)",Total Impairment Recorded,2023 Pre-Tax Discount Rate,2022 Pre-Tax Discount Rate,"Carrying Amount of property, plant and equipment as of December 31, 2023"
Long Products South Africa,South Africa,ACIS,264,112,17.3 %,17.5 %,86
