0,1,2,3,4,5,6,7,8
Cash-Generating Unit,Region,Operating Segment,(Value in Use) Recoverable Amount,2022 Pre-Tax Discount Rates,,,2021 Pre-Tax Discount Rate,"Carrying amount of property, plant and equipment as of December 31, 2022"
,,,,Total Impairment Recorded,Applied to 2023 projections,Applied to subsequent projections,,
AMKR,Ukraine,ACIS,"1,003","1,026",47.1 %,20.0 %,16.9 %,655
