0,1,2,3,4,5,6
,"December 31, 2023",,,,,
,Cash flow hedge reserve,,,,(Expense)/income,
,Carrying amount,3 months and less,3-6 months,6-12 months,2025,After 2025
Foreign exchange contracts,28,5,2,10,11,—
Commodity contracts,633,35,69,169,233,127
Emission rights,900,—,"—
:unselected:",—,—,900
Total,"1,561",40,71,179,244,"1,027"
