0,1,2,3,4,5,6
,"December 31, 2022",,,,,
,Assets/ (liabilities),,,,(Outflows)/inflows,
,Fair value,3 months and less,3-6 months,6-12 months,2024,After 2024
Foreign exchange contracts,4,(2),(3),—,9,—
Commodities,"1,003",(10),63,175,419,356
Emission rights,53,1,1,51,—,—
Total,"1,060",(11),61,226,428,356
