0,1,2,3,4,5,6,7
"As of December 31, 2023",Total,EUR,USD,ARS,BRL,INR,Other
Short-term debt and current portion of long-term debt,"2,312","1,414",533,"—
:unselected:",31,68,266
"Long-term debt, net of current portion","8,369","3,312","4,560","—
:unselected:",86,1,410
Cash and cash equivalents and restricted cash,"(7,783)","(5,660)",(886),(461),(171),(62),(543)
Net debt,"2,898",(934),"4,207",(461),(54),7,133
