0,1,2,3,4,5,6,7
"Year ended December 31, 2021",NAFTA,Brazil,Europe,ACIS,Mining,Others,Total
Steel sales,"12,127","10,225","38,302","7,148",—,—,"67,802"
Non-steel sales 1,1,202,"2,240",769,"1,607","—
:unselected:","4,819"
By-product sales 2,132,111,943,171,—,—,"1,357"
Other sales 3,232,292,"1,715",304,33,17,"2,593"
Total,"12,492","10,830","43,200","8,392","1,640",17,"76,571"
