0,1,2,3
Summary of cash flow,"For the year ended December 31,",,
(in $ millions),2023,2022,2021
Net cash provided by operating activities,"7,645","10,203","9,905"
Net cash used in investing activities,"(5,848)","(4,483)",(340)
Net cash used in financing activities,"(3,666)",(477),"(10,898)"
