0,1,2,3,4,5,6,7
,,,,,"December 31, 2023",,
Hedging Instruments,Nominal amount of the hedging instrument,Assets carrying amount,Liabilities carrying amount,Line item in the statement of financial position where the hedging instrument is located,Change in value used for calculating hedge ineffectiveness for 2021,Line item in the statement of comprehensive income that includes the recognized hedge ineffectiveness,Foreign currency translation reserve
Net investment hedges,,,,,,,
Foreign exchange risk - Cross Currency Swap,—,"—
:unselected:","—
:unselected:",N/a,—,N/a,70
Foreign exchange risk - EUR debt,"4,017","—
:unselected:","4,009","Short-term debt and current portion of long- term debt; long- term debt, net of current portion","—
:unselected:",N/a,332
Total,"4,017","—
:unselected:","4,009",,—,,402
