0,1,2,3,4,5
Net periodic pension cost (income),"Year ended December 31, 2021",,,,
,Total,Canada,Brazil,Europe,Others
Current service cost,105,29,"—
:unselected:",69,7
Past service cost - Plan amendments,31,28,"—
:unselected:",3,—
Net interest cost (income) on net DB liability (asset),55,14,7,12,22
Total,191,71,7,84,29
