0,1,2,3
,"Year ended December 31,",,
,2023,2022,2021
Interest expense,(715),(401),(357)
Interest income,570,188,79
Change in fair value adjustment on call option on mandatory convertible bonds,—,(15),(44)
Accretion of defined benefit obligations and other long term liabilities,(243),(51),(164)
Net foreign exchange gain/ (loss),(48),191,(155)
Other1,(423),(246),(514)
Total,(859),(334),"(1,155)"
