0,1,2,3,4,5,6
,"December 31, 2023",,,,"December 31, 2022",
,Associates,Joint Ventures,Total,Associates,Joint Ventures,Total
Carrying amount of interests in associates and joint ventures,481,877,"1,358",422,911,"1,333"
Share of:,,,,,,
Income from continuing operations,56,81,137,79,239,318
Other comprehensive income (loss),4,(2),2,2,5,7
Total comprehensive income (loss),60,79,139,81,244,325
