0,1,2,3,4,5
Net periodic pension cost (income),"Year ended December 31, 2022",,,,
,Total,Canada,Brazil,Europe,Others
Current service cost,99,24,"—
:unselected:",63,12
Past service cost - Plan amendments,5,9,"—
:unselected:","(4)
:selected:","—
:unselected:"
Past service cost - Curtailments,(26),—,"—
:unselected:",(26),"—
:unselected:"
Net interest cost/(income) on net DB liability (asset),52,7,5,18,22
Total,130,40,5,51,34
