0,1,2,3,4,5,6
,"RSUs granted in
December 2023","PSUs granted in
December 2023","RSUs granted in
December 2022",PSUs granted in December 2022,RSUs granted in December 2021,PSUs granted in 2021
CFO and Other Executive Officers,"54,800","233,100","41,500","113,900","32,400","89,200"
Term (in years),3,3,3,3,3,3
Vesting date1,"December 8, 2026","January 1, 2027","December 13, 2025","January 1, 2026","December 16, 2024",January 1 2025
