0,1,2,3,4,5
,"December 31, 2021",Movement in year,"December 31, 2022",Movement in year,"December 31, 2023"
Issued shares,"982,809,772","(105,000,000)","877,809,772","(25,000,000)","852,809,772"
Treasury shares,"(71,916,570)","(555,273)","(72,471,843)","38,933,827","(33,538,016)"
Total outstanding shares,"910,893,202","(105,555,273)","805,337,929","13,933,827","819,271,756"
