0,1,2,3,4,5
EUROPE (continued),,Crude Steel Production in 2023 Locations (in million tonnes per Type of plant year) 1,,,Products
Unit,Country,,,,
ArcelorMittal Tubular Products Kraków 8,Poland,Kraków,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products Hautmont,France,Hautmont,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products Vitry,France,Vitry,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products Chevillon,France,Chevillon,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products Lexy,France,"Lexy, Rettel, Vincey, Fresnoy-le-Grand",n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products Legutio,Spain,Legutiano,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products Zalain,Spain,Zalain-Lesaka,n/a,Downstream,Pipes and Tubes
ArcelorMittal Berrioplano 9,Spain,Berrioplano,n/a,Downstream,Pipes and Tubes
ArcelorMittal Tubular Products Altensteig,Germany,Altensteig-Walddorf,n/a,Downstream,Pipes and Tubes
Captive mining operations,Country,Locations,ArcelorMittal Interest (%),,
Unit,,,,Type of Mine,Product
