0,1
Financial results *:,
Results for the 1st quarter 2024,"May 2, 2024"
Results for the 2nd quarter 2024 and 6 months 2024,"August 1, 2024"
Results for the 3rd quarter 2024,"November 7, 2024"
Meeting of shareholders:,
Annual general meeting of shareholders,"April 30, 2024"
