0,1
Munich Re (NATHAN) Tropical Cyclone Zone,Proportion of TIV
Zone 5: > 300 km/h,NIL
Zone 4: 252-300 km/h,NIL
Zone 3: 213-251 km/h,0.6%
Zone 2: 185-212 km/h,0.4%
Zone 1: 142-184 km/h,3.2%
Zone 0: 76-141 km/h,24.2%
No hazard: < 76 km/h,71.6%
