0,1,2,3
DESCRIPTION,2022,2021,2020
Percentage of global employees who are women (wholly owned operations),28.0%,28.0%,27.0%
Women in critical roles,18.0%(1),18.0%,16.0%
Women on the Board of Magna,38.0%(2),42.0%,42.0%
