0,1,2,3,4,5,6,7,8
GRI 302-5,,,,,,,,
,20236,20226,20216,2020,2015,2010,2005,2000
CO2 emissions,"1091,2,5","1151,5","1143,5",1046,"1234,6",1586,1786,2046
