0,1,2,3
GRI 303-4,,,
,2023,2022,2021
Chemical oxygen demand (COD) (in t),6,7,9
Zinc (Zn) (in kg),2,0,2
Nickel (Ni) (in kg),44,24,19
Total chrome (Cr) (in kg),0,0,0
