0,1,2,3,4
GRI 405-1,GRI 2-9,,,
,,2023,20223,20213
Proportion of women,,22.2,21.7,21.1
"Proportion of women in senior management positions, Level 1 to 32",,25.7,24.7,22.5
Proportion of women in the Board of Management,,37.5,37.5,37.5
Proportion of women in the,,30.0,35.0,30.0
Supervisory Board,,,,
