0,1,2,3
GRI 401-1,,,
,2023,20222,"20212, 3"
Europe,5.2,5.7,8.3
of which Germany,4.7,4.6,7.9
NAFTA,16.9,19.9,13.3
Asia,6.7,9.0,12.7
Rest of world,7.3,7.7,7.8
Total,6.8,7.6,9.4
