0,1,2,3
GRI 2-7/-8,,,
,2023,20222,20212
Direct functions (production employees),"65,181","67,331","67,430"
Indirect functions (administrative & production-related employees),"100,870","101,466","104,995"
Trainees,"4,311","4,467","4,817"
Interns/thesis writers/ PhD students/working students/ senior experts,"4,885","4,728","4,223"
Holiday workers,5,18,19
