0,1,2,3
GRI 302-1,,,
,20233,2022,20212
Electrical power,"2,340","2,481","2,492"
Natural gas,"2,331","2,5314","3,1014"
Biogas,29,,
District heating,567,597,733
Heating oil,78,78,39
Liquefied petroleum gas,38,37,52
Hydrogen,15,0,-
Fuels1,331,363,370
Total,"5,729","6,087","6,786"
thereof total in production,"4,943","5,294","5,741"
