0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Year,Up to 30 years,,,31 to 50 years,,,Over 50 years,,,Total,,
,,Women,Men,Total,Women,Men,Total,Women,Men,Total,Women,Men,Total
Top executive team,2023,-,-,-,-,3,3,5,25,30,5,28,33
,2022,-,-,-,-,5,5,5,26,31,5,31,36
,2021,-,-,-,1,7,8,5,24,29,6,31,37
