0,1,2,3,4,5
Geographical area,Plant,Plant activity,Year,Surface occupied [m2],Type of natural protected area
,PCMA Venaria Reale SBH (Italy),Component Plant,2023,"18,123",IUCN Category II National Park
,,,2022,"18,123",
,,,2021,"18,123",
,Rennes (France),Car Plant,2023,"830,307",Natural Protected Area according to State or Federal legislation
,,,2022,"830,307",
,,,2021,"830,307",
Enlarged Europe,Rüsselsheim (Germany),Car Plant,2023,"1,916,523","Natura 2000, Natural Protected Area according to State or Federal legislation"
,,,2022,"1,916,523",
,,,2021,"1,916,523",
,Sept Fons (France),Foundry,2023,"97,868",Natura 2000
,,,2022,"97,868",
,,,2021,"97,868",
,Sochaux (France),Car Plant,2023,"1,630,808",IUCN Category IV Habitat/ Species Management Area
,,,2022,"1,956,100",
,,,2021,"1,956,100",
,Szentgotthard (Hungary),Powertrain Plant,2023,"205,822","Natura 2000, RAMSAR Site (Convention on Wetlands)"
,,,2022,"205,822",
,,,2021,"205,822",
,Teksid Iron Poland (Poland),Foundry,2023,"85,000",Natura 2000
,,,2022,"85,000",
,,,2021,"85,000",
,Termoli (Italy),Powertrain Plant,2023,"263,128",Natura 2000
,,,2022,"263,128",
,,,2021,"263,128",
,Torino Mirafiori Plant (Italy),,2023,"454,274",Natura 2000
,,Car Plant,2022,"737,500",
,,,2021,"971,800",
