0,1,2,3,4,5,6,7
,Year,Enlarged Europe,North America,South America,"Middle East
& Africa","China and India
& Asia Pacific",Total
Rate,2023,1.33,2.64,0.06,0.00,0.19,1.59
,2022,1.35,2.76,0.79,0.00,0.04,1.69
,2021,1.23,2.24,0.07,0.20,0.00,1.32
