0,1,2,3,4,5,6,7
,Year,Enlarged Europe,North America,South America,Middle East & Africa,China and India & Asia Pacific,Total
Women FTE,2023,1,974,-,-,-,975
Men FTE,2023,13,"1,517",-,-,-,"1,530"
Women HC,2023,6,"2,278",-,-,-,"2,284"
Men HC,2023,30,"3,543",-,-,-,"3,573"
