0,1,2,3,4,5,6,7
,Year,Enlarged Europe,North America,South America,Middle East & Africa,China and India & Asia Pacific,Total
Women,2023,"3,163",-,121,609,868,"4,761"
Men,2023,"17,464",-,576,"3,711","3,093","24,844"
Gender Unknown,2023,"6,454",852,"3,522",135,-,"10,963"
Total,2023,"27,081",852,"4,219","4,455","3,961","40,569"
