0,1
REFERENCE FOR READING THE CSR REPORT,3
MESSAGE FROM THE CHAIRMAN & THE CEO,5
1 BUSINESS MODEL AND GOVERNANCE: CREATING SHARED AND LASTING VALUE - INTEGRATED REPORT,8
2 BRINGING A TANGIBLE IMPACT ON CLIMATE CHANGE - CLIMATE REPORT,30
3 DRIVING THE COMPANY TRANSFORMATION THROUGH THE DEVELOPMENT OF HUMAN CAPITAL,79
4 MEETING CHANGING CUSTOMER EXPECTATIONS ON MOBILITY,144
5 PREVENTING ETHICS VIOLATIONS BY PROMOTING OUR ETHICAL CULTURE,174
6 PROMOTING PROTECTION AND IMPLEMENTING RESPONSIBLE USE OF NATURAL RESOURCES,201
7 ENSURING PROTECTION OF HUMAN RIGHTS AND SUPPORTING A BALANCED ECONOMIC DEVELOPMENT OF TERRITORIES,251
