0,1,2,3,4,5,6
VISION/AMBITION: Design industrial processes that allow minimal use of raw materials and ensure 100% waste recycling in local loops of circular economy OWNER: Chief Manufacturing Officer,,,,,,
STRATEGIC KPIS,COMMITMENT,,,RESULTS,,
,Short-term (2025),Medium-term (2030),Long-term (2050),2021,2022,2023
Total waste normalized (kg/vehicle produced),40 kg/vehicle produced,36 kg/vehicle produced,22.5 kg/vehicle produced,48.15 kg/vehicle produced21,47.43 kg/vehicle produced,47.94 kg/vehicle produced
Percentage of waste recovered out of total waste generated,84% 90%,,100%,80%,81%,83%
Percentage of plants with Zero Waste Sent to Landfill,65% 75% 100%,,,61%,65% 64%,
