0,1,2,3
4 BEV-CENTRIC PLATFORMS,STLA SMALL,500 km 300 miles,
HIGH ENERGY DENSITY AND EFFICIENT BATTERIES,STLA MEDIUM,700 km 440 miles,
OPTIMIZED SEGMENTATION FOR FULL MARKET COVERAGE,STLA LARGE,800 km 500 miles,3 UNIBODY
CROSS SHARED COMPONENTS AND SYSTEMS,STLA FRAME,800 km 500 miles,1 BODY ON FRAME
