0,1,2,3,4,5,6
Year,Enlarged Europe,North America,South America,Middle East & Africa,China and India & Asia Pacific,Total
2023 Total 2022 2021,2.63,4.35,3.94,2.3,0.57,3.32
,2.79,5.63,4.75,3.97,-,3.79
,,,,,,3.80
