0,1,2
STRATEGIC KPIS,COMMITMENT,RESULTS
Average human rights scores of Stellantis Tier-1 suppliers assessed by independent third party,Short-term (2025) Medium-term (2030) Long-term (2050),2021 2022 2023
,Increase of +2.5% vs Increase of +5% vs score in top level performance score as of 01/01/21 as of 01/01/21 category,"2.7% increase in 4.4% Increase in 6,4% Increase in performance during 2021 Performance since 01/01/21 Performance since 01/01/21"
