0,1,2,3,4,5,6,7
,Year,Enlarged Europe,North America,"South
America","Middle East
& Africa","China and India
& Asia Pacific",Total
Employees,2023,0.10,0.02,0.07,0.01,-,0.06
,2022,0.05,0.05,0.06,0.03,-,0.05
Temporary workers,2023,0.03,-,0.05,-,-,0.03
,2022,0.11,-,0.08,-,-,0.08
Total,2023,0.09,0.02,0.07,0.01,-,0.06
,2022,0.05,0.05,0.06,0.03,-,0.05
,2021,0.12,0.04,0.04,0.01,0.01,0.07
