0,1,2,3,4,5,6
Year,Up to 5 years,6 to 10 years,11 to 20 years,21 to 30 years,Over 30 years,Total
2023 Number of 2022 employees 2021,"49,121","38,640","51,758","59,479","30,153","229,151"
,"54,703","41,986","52,238","63,362","32,385","244,674"
,"59,380","45,997","54,344","64,408","34,589","258,718"
