0,1,2,3,4,5
Year,Hours of training,Individual training courses provided to employees,Training investment per FTE (in €),Average hours trained per FTE,Employees benefited from at least one training course during the year
2023,"2,881,002","680,540",612,12,"209,998"
2022,"3,175,783","662,540",809,13,"208,535"
2021,"3,497,750","458,913",505,"12,5","202,437"
