0,1,2,3,4,5
Geographical area,Plant,Plant activity,Year,Surface occupied [m]],Type of natural protected area
,"Grugliasco Mould
Shop (Italy)","Component
Plant",2023,"6,594",Natural Protected Area according to State or Federal legislation
,,,2022,"6,594",
,,,2021,"6,594",
,Hordain (France),Car Plant,2023,"658,349",Natural Protected Area according to State or Federal legislation
,,,2022,"654,824",
,,,2021,"654,824",
,Kaiserslautern (Germany),Component Plant,2023,"238,216",IUCN Category IV Habitat/
,,,2022,"607,601","Species Management Area, IUCN Category V Protected Landscape/ Seascape, Natura 2000, Natural Protected Area according to State or Federal legislation"
,,,2021,"607,601",
Enlarged Europe,Luton IBC (UK),Car Plant,2023,"210,432",Natural Protected Area according to State or Federal legislation
,,,2022,"210,432",
,,,2021,"210,432",
,Melfi Plant (Italy),Car Plant,2023,"1,764,755",Natural Protected Area according to State or Federal legislation
,,,2022,"1,758,555",
,,,2021,"1,811,183",
,Melfi Press Shop Plant (Italy),Component Plant,2023,"92,855",Natural Protected Area according to State or Federal legislation
,,,2022,"92,855",
,,,2021,"40,227",
,Metz (France),Powertrain Plant,2023,"233,428",Natural Protected Area according to State or Federal legislation
,,,2022,"233,428",
,,,2021,"233,428",
,Mulhouse (France),Car Plant,2023,"2,218,647",Natura 2000
,,,2022,"2,218,647",
,,,2021,"2,113,096",
,PCMA Venaria Reale (Italy),,2023,closed in 2023,
,,Component Plant,2022,"5,460",IUCN Category II National Park
,,,2021,"5,460",
