0,1,2,3,4,5,6
"VISION/AMBITION: Propose a wide range of low carbon mobility devices, rapidly available in countries of operations, to contribute to the race to carbon neutrality, by leading CO2 emissions reduction. OWNER: Chief Planning Officer",,,,,,
STRATEGIC KPIS,COMMITMENT,,,RESULTS,,
Percentage of nameplates with LEV offering (focus on U.S. and EU),Short-term (2025),Medium-term (2030),Long-term (2038),2021,2022,2023
,EU Passenger Cars (PC): 95%,EU PC: 100% nameplates with BEV offering,EU PC: 100% nameplates with BEV offering,EU PC: 40% LEV (15% BEV),EU PC: 48% LEV (14% BEV),EU PC: 60% LEV (30% BEV)
,U.S. PC & Light Duty Trucks (LDT): 81%5,U.S. PC & LDT: 100% nameplates with BEV offering,U.S. PC & LDT: 100% nameplates with BEV offering,U.S. PC & LDT: 10% LEV,U.S. PC & LDT: 14% LEV,U.S. PC & LDT: 21% LEV
Share of LEV in global sales mix (focus on U.S. and EU),EU PC: 44% LEV (incl. 34% BEV)6 U.S. PC&LDT: 37% (incl. 14% BEV),EU PC: 100% BEV U.S. PC&LDT: 50% BEV,EU PC: 100% BEV,EU PC: 12.8% LEV (8% BEV) U.S. PC& LDT: 3.4% LEV,EU PC: 18.3% LEV (11.2% BEV) U.S. PC& LDT: 4.9% LEV,EU PC: 18.5% LEV (11.9% BEV)
,,,U.S. PC&LDT: 100% BEV,,,U.S. PC&LDT: 11.2% LEV
