0,1,2,3,4,5,6
"VISION/AMBITION: Contribute to global carbon neutrality, with an ambitious carbon footprint reduction roadmap. OWNER: Chief Planning Officer",,,,,,
STRATEGIC KPIS,COMMITMENT,,,RESULTS,,
"GHG emissions reduction (%) (intensity GWP - per vehicle) across scopes 1, 2, and 3 - 1.5ºC scenario - Global",Short-term (2023),Medium-term (2030),Long-term (2038),2021,2022,2023
,Targets for vehicle programs under development consistent with -50% GHG emissions per vehicle 2030 objective,Reduce GHG emissions by 50% per vehicle vs 2021 level,"Carbon Net Zero, with single digit % compensation of residual emissions vs 2021 level4",80.2 tons CO2-eq/veh,77.1 tons CO2-eq/veh (-3.8% vs. 2021),74.3 tons CO2-eq/veh (-7.3% vs. 2021)
,,,,Stellantis global absolute carbon footprint: 527.2 million tons,Stellantis global absolute carbon footprint: 450.6 million tons,Stellantis global absolute carbon footprint: 460.7 million tons
