0,1,2,3
VISION/AMBITION: Contribute to a decarbonized economy by achieving net zero emissions within our activities worldwide (scope 1 and 2). OWNER: Chief Manufacturing Officer,,,
STRATEGIC KPIS,COMMITMENT,,RESULTS
Absolute scope 1 and 2 GHG emissions (tons of CO2-eq),Short-term (2025) Medium-term (2030),Long-term (2038),2021 2022 2023
,"-50% vs 2021 -75% vs 2021 Carbon Net Zero, with single digit % compensation of residual emissions vs 2021 level7",,"3,874,486 3,443,124 (-11% vs 2021) 3,080,249 (-20% vs 2021)"
Share of decarbonized electricity used (%),50% 100% 100%,,45% 55% 58%
