0,1,2,3,4
Goals,GOALS BY FY25,FY23 ACTUALS,FY23 COMPARED TO BASELINE,FY23 COMPARED TO FY22
Women in Leadership Roles,30%,24% REACHED,"3% INCREASE FY22Q1 = 21%
:selected:",1% DECREASE FY22 = 25%
Women in Technical Roles,25%,15% REACHED,5 1% INCREASE FY22Q1 = 14%,1% INCREASE FY22 = 14%
